Название видеоролика;Описание;Количество просмотров;Url видеоролика
Оригинальная коса в школу  Детская причёска с лентой  Trenza Hair tutorial;Больше видео уроков здесь: https://www.youtube.com/c/ElviraAlexa?sub_confirmation=1 . Читать подробно про курсы: http://elviraalexa.ru/ ...;6248;https://www.youtube.com/watch?v=aikMeMQops0
Косы 2017! - Цветные косы. Boxer braids.;Плетем цветные косы с акриловыми нитями. Support us on patreon https://www.patreon.com/lizasbraids Канекалон можно приобрести у нас...;167486;https://www.youtube.com/watch?v=eOE8TWUQ46U
Коса из четырёх прядей с лентой и цветок из косы. Видео-урок.;Цветок из косы. Коса с лентой. Плетение. Больше видео уроков здесь: https://www.youtube.com/c/ElviraAlexa?sub_confirmation=1 .  ....;256016;https://www.youtube.com/watch?v=StGEjzHJizo
Бортик коса из 4 полос. Процесс создания косички бортика для детской кроватки;ВНИМАНИЕ новый вид косы https://youtu.be/1FYWB2SR-ik !!! Студия детского текстиля dekor_detkam https://www.instagram.com/dekor_detkam/ Заказат...;28583;https://www.youtube.com/watch?v=nL9aQ_RV0z0
Вязание спицами. Шапка с косами из 12 петель и градиентом.;Вязание спицами. Шапка с косами из 12 петель. Выполнена из детской пряжи, 50% шерсть, 50% фибра. 3 мотка белой...;181580;https://www.youtube.com/watch?v=POqMPb64Dq0
Детские прически с косами;Видеоурок: прически с косами для детей http://www.myhair.su/pricheski/detskie_pricheski_iz_kosichek/ Смотрите подробный видеокурс...;407786;https://www.youtube.com/watch?v=h19o5KxG66s
Коса с лентой. Прическа для девочки;Подпишись на Мамину школу. Мы Вконтакте http://vk.com/public68136941 Мы в Одноклассниках http://www.odnoklassniki.ru/tvdetki.;148361;https://www.youtube.com/watch?v=wo-8tBODAo8
Прически на 1 СЕНТЯБРЯ и Последний звонок! Back to school hairstyles!;Делаем прически с помощью силиконовых резиночек, шпилек, невидимок. Украшаем белыми цветами, бантами и...;138877;https://www.youtube.com/watch?v=KYR2MlPnElU
Модный Комбинезон мишка 🐻 узором косы,спицами, часть 1;Мой Инстаграм https://www.instagram.com/elizavetaveshnya/?hl=ru В видео я показываю: обзор комбинезона мишка  , снятие мерок, схем...;115199;https://www.youtube.com/watch?v=ZrovO_GFFFs
Мастер-класс Детские носки с косами возраст 3-4 года / Вязание спицами/ Часть 1;В этом видео представлен мастер-класс по вязанию детских носочков с ложными косами. Носочки получаются...;2616;https://www.youtube.com/watch?v=oeHe53DzfAM
Причёска Хвост с Колоском| Детские Причёски- Косы Плетение;В этом видео мы покажем как сделать Причёску с Хвостом Колосок. А ещё на нашем канале вы узнаете как сделать...;93;https://www.youtube.com/watch?v=_mZ0BXyiXOQ
AlinaVjazet. Детский комбинезон с косами. МК. Часть 3. Как перейти на вязание тела!;https://www.mirkrestikom.ru/u/Vu/ СКИДКА -10% для моих зрителей, на первую покупку в интернет-магазине товаров для творчес...;8827;https://www.youtube.com/watch?v=axhKfqlxSFk
Индейская Причёска Из Резинок И Косичек| Детские Причёски-Косы Плетение;В этом видео мы покажем как сделать Индейскую Причёску Из Резинок и Косичек. А ещё на нашем канале вы узнает...;84;https://www.youtube.com/watch?v=WGIeI_PMHgo
Чудо-коса из хвоста. Прическа за 5 минут. Советы стилиста. StarMediaKids;Это видео (https://youtu.be/v9hIOTSt8iI) посвящено созданию оригинальной прически на длинные волосы. Наш мастер, стилист...;39763;https://www.youtube.com/watch?v=v9hIOTSt8iI
Коса Водопад. Причёска с узловым плетением для средних и длинных волос;Плетение косичек на средние, длинные волосы. Ажурные косы. Оригинальное плетение косички водопад, причёска...;1534006;https://www.youtube.com/watch?v=pyKotX9qIzM
Пинетки сапожки с косами;Пинетки сапожки с косами. Пинетки связаны спицами. Размер 11-12 см по подошве (тянутся на больше). Вес 84 гр.;178041;https://www.youtube.com/watch?v=9FMXZq4wPTQ
✦ Прически за 5мин: Коса Водопад -- быстро и просто! / Cascade Braid in 5min;Хотите сделать красивую прическу за 5 минут? Это идеальный вариант для вас! Элегантно и просто. А главное...;5657737;https://www.youtube.com/watch?v=Y839dS54uZc
Детская Причёска Тройная Коса Дракончик|  Красивые прически для детей как у Мисс Кейти Miss Katy;В этом видео мы покажем как сделать Тройную Косу Дракончик . А ещё на нашем канале вы узнаете как сделать...;94;https://www.youtube.com/watch?v=IZaRcRhwFIA
Причёска для праздника в школу и детский сад  Коса с бусинами;Больше видео уроков здесь: https://www.youtube.com/c/ElviraAlexa?sub_confirmation=1 . Читать подробно про курсы: http://elviraalexa.ru/ ...;1503;https://www.youtube.com/watch?v=Gyblq7dIm3g
Косы для девочек пошагово!;Косы для девочек. Пошагово - Причёски для девочек пошагово косички колосок дракончик рыбий хвост косичка...;12743;https://www.youtube.com/watch?v=Qo8a6V4umcs
Коса трёхпрядная  Очень просто  Видео урок для новичков в косоплетении  Красивая коса;Красивая причёска. Плетение. Причёски на каждый день. Косы для школы. Больше видео уроков здесь: https://www.youtube.c...;241349;https://www.youtube.com/watch?v=LwV0ZbjiAzA
ПРИЧЕСКА В ШКОЛУ И НА КАЖДЫЙ ДЕНЬ ИЗ РЕЗИНОК / ФРАНЦУЗСКАЯ КОСА ИЗ РЕЗИНОК;Силиконовые резиночки с Алиэкспресс здесь - http://ali.pub/1r6ofx ✓Я в инстаграмм!!!!! - https://www.instagram.com/sveta_rash_/ ✓Подпиши...;94852;https://www.youtube.com/watch?v=eqVs8J1a5j8
"Шапка с косами и с градиентом узором ""Коса с тенью из 15 петель"". Спицами";"Шапка с косами и с градиентом узором ""Коса с тенью из 15 петель"". Спицами Ну вот наконец то я записала и смонти...";750522;https://www.youtube.com/watch?v=Xvc7vj6bCx4
Прическа в школу из французской косы.;Прическа в школу с плетением французской косы. ---------------------------------------------------- Моя партнерская программа AIR:...;6952;https://www.youtube.com/watch?v=ZGnkR1VEnfs
"Прическа На Длинные И Средние Волосы ""Корзинка"". Плетение Косы Вокруг Головы. [Плетение Кос На";Хочешь плести косы как мастер? Мы научим! ЖМИ - http://kosy4you.blogspot.com ......................................................................................;10563;https://www.youtube.com/watch?v=JosMII3J3wk
ПРИЧЕСКА. ПЕРЕКРЕЩЕННЫЕ КОСЫ.АЖУРНОЕ ПЛЕТЕНИЕ.;Всем привет! В этом видео я покажу как сделать простую, женственную прическу. Так же на моем канале вы найдет...;17136;https://www.youtube.com/watch?v=39aZuPRKcxQ
Бортик коса. Новое плетение бортика косы  для детской кроватки.;Новое плетение бортика косы для детской кроватки от студии детского текстиля dekor_detkam https://www.instagram.com/dekor_detkam/...;8895;https://www.youtube.com/watch?v=1FYWB2SR-ik
Прическа корзинка из обратной французской косы. Basket Hairstyle of French Braid;Подписывайтесь на мой канал http://www.youtube.com/user/4OXYGENE http://instagram.com/olyanaryzhnaya http://vpletaysya.ru http://vk.com/vpletaysya ...;78748;https://www.youtube.com/watch?v=X4pZcggZGCw
Вязание крючком. Детский комплект. Шапка (узор косы);9:25 - узор косы 1й ряд 10:55 - 2й ряд 14:11 - 3й ряд 19:25 - 4й ряд 25:00 - 5й ряд 30:40 - 6й ряд Вязание крючком. Детская шапка...;351321;https://www.youtube.com/watch?v=3jNOeArG9cg
Детские прически с косами;;72622;https://www.youtube.com/watch?v=Jqo_mYCxrO4
Причёска Колосок Рыбий Хвост| Детские Причёски-Косы Плетение;В этом видео мы покажем как делать Колосок Рыбий Хвост. А ещё на нашем канале вы узнаете как сделать лёгкие...;121;https://www.youtube.com/watch?v=4R6-LlFuTxw
"Прическа на длинные и средние волосы ""Корзинка"". Плетение косы вокруг головы.";Всем привет! В этом видео уроке я покажу вам плетение косы вокруг головы. Эта очень эффектная прическа для...;2138989;https://www.youtube.com/watch?v=lnbsNMhYJWg
"Плетение косы  ""Паутинка""";Как быстро, красиво и аккуратно сделать причёску своему ребенку.;1207602;https://www.youtube.com/watch?v=IQ7dzrBhDgU
Детский жакет спицами.Пальто с косами для девочки.Ч.1.Как связать детское пальто-вязание спицами;Пальто спицами для детей.Baby Peacot || Free knitting Tutorial|| МK Пальто спицами на ребенка. ▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱...;88169;https://www.youtube.com/watch?v=HqZbSD7m4xY
Коса рыбий хвост  Воздушная коса  Очень просто  Hair tutorial  Курс плетения кос;Больше видео уроков здесь: https://www.youtube.com/c/ElviraAlexa?sub_confirmation=1 . Читать подробно про курсы: http://elviraalexa.ru/ ...;956494;https://www.youtube.com/watch?v=F6mDes057Es
Косы спицами образец к детской кофте;В этом видео уроке я сняла как вязать косы спицами (образец спицами) для детской кофты, по которой будет...;2371;https://www.youtube.com/watch?v=00rvem_Y6oQ
Причёска Воздушные Хвостики Шнурки Косички| Детские Причёски-Косы Плетение;В этом видео мы покажем как делать Воздушные Хвостики Шнурки Косички. А ещё на нашем канале вы узнаете как...;43;https://www.youtube.com/watch?v=q1NxzfXS_Nk
Плетение косы красиво за 5минут;;162927;https://www.youtube.com/watch?v=ymZSXBwMUIQ
🔔Топ 5🔔 Причёски на 1 сентября. Косы, причёски в школу. Сборник видео-уроков.;Курс: Плетение кос с лёгкостью, от новичка к мастеру. http://elviraalexa.ru/product Все видео уроки очень понятные в...;17586;https://www.youtube.com/watch?v=nYaf_qPdMko
ДВУСТОРОННИЕ КОСЫ | ПРОСТЫЕ КОСЫ СПИЦАМИ | ДВУСТОРОННИЙ УЗОР ДЛЯ ШАРФА ИЛИ СНУДА;Схема по ссылке - http://rukotwornoe.ru/uzory/dvustoronnie-kosyi-prostyie-kosyi-spitsami-dvustoronniy-uzor-dlya-sharfa-ili-snuda/ Как выполнить косы ...;5702;https://www.youtube.com/watch?v=TlyZCOcq3fc
Детский комбинезон спицами «Мишка» с косами. Подробный МК. Часть 1;Мой ИГ https://www.instagram.com/alena.knit/ Мой 2-й профиль в ИГ https://www.instagram.com/alena_knitwear/;217140;https://www.youtube.com/watch?v=TEpDkZGeews
Детский комбинезон спицами с косами - часть 1/3 (штанины);Детский комбинезон спицами с косами, описание и схемы (knitted jumpsuit ): http://prjaga.ru/vyazanie-dlya-detej/bodik-kombinezon-pesochnik/detskij-kombi.;93642;https://www.youtube.com/watch?v=8AZCJpDMhP0
Как Плести Косы с Лентами Видео| 5 Strand Ribbon French Braid Headband on Yourself Hairstyle;Косы с лентами выглядят необычайно женственно и красиво, причем заплести косичку с лентами своими руками...;446684;https://www.youtube.com/watch?v=WtM6oweJ7_M
№1МК свитер с косами на девочку и мальчика спицами, простой и модный вязание детям knit for kids;Предлагаю связать вместе со мной свитер для ребенка спицами. Подойдет от 1 года до 3-х лет. Параметры свитера:...;28318;https://www.youtube.com/watch?v=j5yy6oILDBg
"Вяжем детский снуд с  объемными косами из 18 петель / в комплект к шапочке ""Alexis""";"В этом видео мы будем вязать детский снуд с объемными косами из 18 петель , в комплект к шапочке ""Alexis"" ,которая...";87997;https://www.youtube.com/watch?v=GlO4mKCzffY
AlinaVjazet. Детский комбинезон с косами. МК. Часть 4. Тело, рукава, капюшон.;https://www.mirkrestikom.ru/u/Vu/ СКИДКА -10% для моих зрителей, на первую покупку в интернет-магазине товаров для творчес...;8476;https://www.youtube.com/watch?v=pJUpowsCgrM
Шапка с косами спицами. Часть 1. Knitting baby hat with braids. Part 1;Мастер-класс по вязанию спицами детской шапки с косами. Часть 1. Подробное описание вы можете найти на нашем...;327552;https://www.youtube.com/watch?v=ahtePyylvoo
"Собирайся со мной на детский праздник/ Прическа ""Косы"" / GRWM";Мои социальные сети Подписаться на мой канал YouTube https://www.youtube.com/channel/UCWF_xFOXhwJNIl_tkoZ9uzA Instagram ...;264;https://www.youtube.com/watch?v=A5qr4J4EjDM
Стильная причёска| Детские причёски-Косы Плетение;В этом видео мы покажем как сделать стильную и модную причёску. А ещё на нашем канале вы узнаете как сделать...;104;https://www.youtube.com/watch?v=4UkZhfnucIY
Плетём ребёнку: коса из трёх прядей с лентой;"В помощь родителям: как заплести ребёнку косу из трёх прядей с лентой. Видео от детской парикмахерской ""Весё...";89453;https://www.youtube.com/watch?v=QH9Douy9kXk
Вязаные  детские шапки с косами,шапки с рюшами и помпонами;Зимой в самый раз подойдут для детей вязаные шапки:то ли шапки с ушками,то ли вязаные с косами. Наша задача...;5763;https://www.youtube.com/watch?v=IN5q_3h6rtc
Ейск: детский пляж Ейской косы;Детский пляж в Ейске: http://edemveysk.ru/plyazhi-ejska/detskij-plyazh.html Снять жилье на Ейской косе (детский и центральные пляжи):...;80;https://www.youtube.com/watch?v=HR1kgQrKTVg
"Плетение волос "" колосок ""( русская коса ) Ежедневная прическа для школьниц";"Плетение волос "" колосок ""( русская коса ) - это одно из простых и быстрых, а так же одно из лучших плетений...";419481;https://www.youtube.com/watch?v=MZTz_djCfE8
"Узор ""Коса из 12 петель спицами""";урок о том, как связать узор «Коса из 12 петель» спицами. Этот узор красиво выглядит в изделии и очень часто...;1450791;https://www.youtube.com/watch?v=Z1B_S_ScZGs
Ободок из французской косы прическа для девочки в школу;Регистрируйтесь в бесплатной онлайн игре по плетению кос от Онлайн школы кос тут: http://online.shkolakos.ru/game В нашем...;2558;https://www.youtube.com/watch?v=qGgac6hrYxM
МОДНЫЕ косы с Канекалоном! ТРЕНД 2017 БОКСЕРСКИЕ КОСЫ! Цветные косы;Спасибо за лайки!!!Мне приятно) Мой инстаграмм https://www.instagram.com/masha__she/ ПОДПИШИСЬ!!! Волосы покупала ЗДЕСЬ: http://ww...;931874;https://www.youtube.com/watch?v=w3AEXcpG-p0
AlinaVjazet. Детский комбинезон с косами. МК. Часть 1. Расчеты!;https://www.mirkrestikom.ru/u/Vu/ СКИДКА -10% для моих зрителей, на первую покупку в интернет-магазине товаров для творчес...;54869;https://www.youtube.com/watch?v=gExAWFh4UbA
ШОК - Детские длинные косички из штор!Как сплести косы дома быстро и красиво!;6 длинных полосочек длиной 70 см - в каждой косичке три полоски );4186;https://www.youtube.com/watch?v=pZ1t4Xl_JTk
Митенки детские-мода 2017 года.Митенки с косами-вяжем спицами.Митенки описание;Как связать простые митенки для девочки-мода 2017.Вяжем митенки с косами на спицах-видео урок.Мастер класс...;3310;https://www.youtube.com/watch?v=7B0zLP3wJy4
Вяжем стильные варежки на двух спицах по кругу узором косы с тенью. Мастер-класс по вязанию варежек.;"Вязание на спицах видеоуроки. Варежки на двух спицах по кругу узором ""Косы с тенью"". Пряжа для вазания YarnArt...";194811;https://www.youtube.com/watch?v=LPP8P9698rY
Детский лагерь Золотая Коса;"ДОЛ ""Золотая Коса""";2705;https://www.youtube.com/watch?v=u_M158u0RKk
Коса жгут.Причёски для средних/длинных волос.Причёски в школу самой себе за 5 минут на каждый день;Плетение косичек для НАЧИНАЮЩИХ.Причёска- Витая Коса-Твист/Жгут на средние, длинные волосы. Плетение косич...;27865;https://www.youtube.com/watch?v=CMIu3pf5Hlk
Мастер-Класс. Экспресс-Прическа [Детские Косы];Хочешь плести косы как мастер? Мы научим! ЖМИ - http://kosy4you.blogspot.com ......................................................................................;142;https://www.youtube.com/watch?v=lG0Y7vun6OE
Бортик коса. Процесс создания косички бортика для детской кроватки;ВНИМАНИЕ новый вид косы https://youtu.be/1FYWB2SR-ik !!! Студия детского текстиля dekor_detkam https://www.instagram.com/dekor_detkam/ Заказат...;6706;https://www.youtube.com/watch?v=IxtBWML2l3I
Мастер-класс Детские носочки с косами на возраст 3-4 года/ Вязание спицами/ Часть 2;В этом видео представлен мастер-класс по вязанию детских носочков с ложными косами. Носочки получаются...;674;https://www.youtube.com/watch?v=mMeQvnBZbRI
Плетение кос , коса наоборот  Сердечко из волос  Прическа на каждый день своими руками  # 2.;Плетение кос, коса наоборот. Сердечко из волос. Прическа на каждый день своими руками. Вариант прически...;29296;https://www.youtube.com/watch?v=TwVk3o_kqG0
Плетение с КАНЕКАЛОНОМ ♥ Цветные косы для девочки ♥ Lovely Kids;Все девочки любят быть в центре внимания. А еще маленькие модницы не представляют свою жизнь без стильный...;17981;https://www.youtube.com/watch?v=HRaqaCSkWMc
ТРЕНД 2018 ДВЕ ФРАНЦУЗСКИЕ КОСЫ С КАНЕКАЛОНОМ САМОЙ СЕБЕ/ЦВЕТНЫЕ КОСЫ/БОКСЕРСКИЕ КОСЫ sveta rash;Канекалон заказывала тут - ￼http://ali.pub/22zmla Моя любимая расческа TANGLE TEEZER - http://ali.pub/1nzsky ￼✓Я в...;810637;https://www.youtube.com/watch?v=hU5b89HVcBs
Джемпер с косами на рукавах /Часть 2;Мастер-класс по вязанию джемпера с косами на рукавах состоит из двух частей. В первой части мы делаем расчет...;48064;https://www.youtube.com/watch?v=SDQX8cLEGak
Прическа с Ободком из Косы для Распущенных Волос (видео). Braid Headband (Hair Tutorial);Вариант прически на распущенные волосы - косичка, заплетенная вдоль лба. Такая плетеная косичка, по сути,...;259293;https://www.youtube.com/watch?v=fhdg2fEIe2M
